,time,emissions
0,0,0.7552412586522319
1,1800,0.7475532833191461
2,3600,0.7806898913113787
3,5400,0.7684860399192408
4,7200,0.7796226815132851
5,9000,0.788996519130491
6,10800,0.7730281172117707
7,12600,0.7823829127928316
8,14400,0.7704347645780582
9,16200,0.7901435311820838
10,18000,0.7636856214373279
11,19800,0.7780896967635166
12,21600,0.7561807813973959
13,23400,0.7524846183080031
14,25200,0.6967605735812811
15,27000,0.6724633892759405
16,28800,0.6054392394179435
17,30600,0.5506944541440025
18,32400,0.49875171291602616
19,34200,0.49576550352542037
20,36000,0.4778945353864007
21,37800,0.4671102170367004
22,39600,0.47075230859532685
23,41400,0.4191242679932428
24,43200,0.4486516221056349
25,45000,0.4535794832251371
26,46800,0.4416680805044598
27,48600,0.4705754773684876
28,50400,0.47760259589257115
29,52200,0.520026916149058
30,54000,0.5027810658751346
31,55800,0.5117984241733233
32,57600,0.5705385285109542
33,59400,0.5962846694586897
34,61200,0.6196602293216038
35,63000,0.667644456845116
36,64800,0.6884648569590622
37,66600,0.6813464334329004
38,68400,0.6799651239728599
39,70200,0.7163549160587656
40,72000,0.7183813290462605
41,73800,0.6928643872951434
42,75600,0.729867695988534
43,77400,0.7197549779749233
44,79200,0.7265464479656562
45,81000,0.6836532270320478
46,82800,0.7545567374332164
47,84600,0.73543485299014
